Date,ppm
4/21/1979,339.26
4/28/1979,339.61
5/5/1979,339.31
5/12/1979,338.89
5/19/1979,339.87
5/26/1979,339.63
6/2/1979,339.94
6/9/1979,339.53
6/16/1979,338.91
6/23/1979,338.96
6/30/1979,339.01
7/7/1979,338.29
7/14/1979,337.83
7/21/1979,337.38
7/28/1979,336.85
8/4/1979,337.04
8/11/1979,336.6
8/18/1979,336.19
8/25/1979,334.57
9/1/1979,334.47
9/8/1979,334.02
9/15/1979,334.22
9/22/1979,333.29
9/29/1979,334.12
10/6/1979,334.12
10/13/1979,333.98
10/20/1979,333.75
10/27/1979,334.17
11/3/1979,334.74
11/10/1979,334.87
11/17/1979,335.6
11/24/1979,335.69
12/1/1979,336
12/8/1979,336.52
12/15/1979,336.78
12/22/1979,336.9
12/29/1979,337.41
1/5/1980,337.68
1/12/1980,337.5
1/19/1980,338.4
1/26/1980,338.51
2/2/1980,338.06
2/9/1980,338.15
2/16/1980,338.69
2/23/1980,338.27
3/1/1980,339.32
3/8/1980,339.56
3/15/1980,340.03
3/22/1980,340.56
3/29/1980,341.02
4/5/1980,340.42
4/12/1980,340.97
4/19/1980,340.76
4/26/1980,341.08
5/3/1980,341.53
5/10/1980,341.32
5/17/1980,341.39
5/24/1980,340.94
5/31/1980,341.74
6/7/1980,341.39
6/14/1980,341.4
6/21/1980,340.88
6/28/1980,340.41
7/5/1980,340.45
7/12/1980,339.79
7/19/1980,338.53
7/26/1980,338.94
8/2/1980,337.99
8/9/1980,337.78
8/16/1980,337.77
8/23/1980,337.81
8/30/1980,337.03
9/6/1980,336.67
9/13/1980,335.77
9/20/1980,335.3
9/27/1980,336.05
10/4/1980,335.84
10/11/1980,335.88
10/18/1980,336.12
10/25/1980,336.43
11/1/1980,336.67
11/8/1980,337
11/15/1980,337.16
11/22/1980,337.32
11/29/1980,337.43
12/6/1980,337.79
12/13/1980,338.12
12/20/1980,338.41
12/27/1980,338.74
1/3/1981,338.95
1/10/1981,339.15
1/17/1981,339.41
